P 148, 500, 0,  0, 0, 0,  2,  Map_by_Goodurden
L 100.8554, -24.3560, 0.1062,  99.3552, -24.3474, 0.1062,  0, 0, 0
L 99.3552, -24.3474, 0.1062,  99.3551, -29.1509, 0.1062,  0, 0, 0
L 99.3551, -29.1509, 0.1062,  100.8559, -29.1442, 0.1062,  0, 0, 0
L 100.8559, -29.1442, 0.1062,  100.8561, -92.8338, 0.1062,  0, 0, 0
L 100.8561, -92.8338, 0.1062,  51.8533, -92.8549, 0.1062,  0, 0, 0
L 51.8533, -92.8549, 0.1062,  51.8557, -108.8558, 0.1062,  0, 0, 0
L 51.8557, -108.8558, 0.1062,  3.1440, -108.8554, 0.1062,  0, 0, 0
L 3.1440, -108.8554, 0.1062,  3.1483, -107.3546, 0.1062,  0, 0, 0
L 3.1483, -107.3546, 0.1062,  -2.6476, -107.3553, 0.1062,  0, 0, 0
L -2.6476, -107.3553, 0.1062,  -2.6449, -124.8559, 0.1062,  0, 0, 0
L -2.6449, -124.8559, 0.1062,  -50.3558, -124.8561, 0.1062,  0, 0, 0
L -50.3558, -124.8561, 0.1062,  -50.3539, -123.3549, 0.1062,  0, 0, 0
L -50.3539, -123.3549, 0.1062,  -61.6462, -123.3550, 0.1062,  0, 0, 0
L -55.1439, -124.8560, 0.1062,  -55.1439, -110.1442, 0.1062,  127, 127, 0
L -50.3542, -111.6445, 0.1062,  -61.6474, -111.6444, 0.1062,  0, 0, 0
L -61.6462, -123.3550, 0.1062,  -61.6442, -132.8555, 0.1062,  0, 0, 0
L -61.6442, -132.8555, 0.1062,  -124.3559, -132.8552, -16.3938,  0, 0, 0
L -124.3559, -132.8552, -16.3938,  -124.3562, -102.1454, -16.3938,  0, 0, 0
L -124.3562, -102.1454, -16.3938,  -61.6442, -102.1447, 0.1062,  0, 0, 0
L -61.6474, -111.6444, 0.1062,  -61.6443, -102.1436, 0.1062,  0, 0, 0
L -50.3542, -111.6445, 0.1062,  -50.3554, -110.1436, 0.1062,  0, 0, 0
L -50.3554, -110.1436, 0.1062,  -33.3523, -110.1448, 0.1062,  0, 0, 0
L -33.3523, -110.1448, 0.1062,  -33.3521, -92.8526, 0.1062,  0, 0, 0
L -33.3521, -92.8526, 0.1062,  -49.3553, -92.8559, 0.1062,  0, 0, 0
L -49.3553, -92.8559, 0.1062,  -49.3079, -78.1445, 0.1062,  0, 0, 0
L -49.3079, -78.1445, 0.1062,  -2.6438, -78.1615, 0.1062,  0, 0, 0
L -2.6438, -78.1615, 0.1062,  -2.6462, -95.6427, 0.1062,  0, 0, 0
L -2.6462, -95.6427, 0.1062,  3.1472, -95.6471, 0.1062,  0, 0, 0
L 3.1472, -95.6471, 0.1062,  3.1440, -94.1438, 0.1062,  0, 0, 0
L 3.1440, -94.1438, 0.1062,  5.1385, -94.1485, 0.1062,  0, 0, 0
L 5.1385, -94.1485, 0.1062,  5.1607, -78.1443, 0.1062,  0, 0, 0
L 5.1607, -78.1443, 0.1062,  86.1464, -78.1440, 0.1062,  0, 0, 0
L 86.1464, -78.1440, 0.1062,  86.1438, -29.1603, 0.1062,  0, 0, 0
L 86.1438, -29.1603, 0.1062,  87.6465, -29.1409, 0.1062,  0, 0, 0
L 87.6437, -24.3547, 0.1062,  87.6465, -29.1409, 0.1062,  0, 0, 0
L 87.6437, -24.3547, 0.1062,  86.1441, -24.3559, 0.1062,  0, 0, 0
L 86.1441, -24.3559, 0.1062,  86.1456, -7.3542, 0.1062,  0, 0, 0
L 86.1456, -7.3542, 0.1062,  53.2706, -7.3532, 0.1062,  0, 0, 0
L 53.2706, -7.3532, 0.1062,  37.1876, -23.3561, 0.1062,  0, 0, 0
L 37.1876, -23.3561, 0.1062,  6.1445, -23.3558, 0.1062,  0, 0, 0
L 6.1445, -23.3558, 0.1062,  6.1460, -5.8541, 0.1062,  0, 0, 0
L 0.3549, -5.8550, 0.1062,  6.1460, -5.8541, 0.1062,  0, 0, 0
L 0.3549, -5.8550, 0.1062,  0.3558, -7.3560, 0.1062,  0, 0, 0
L 0.3558, -7.3560, 0.1062,  -63.3560, -7.3558, 0.1062,  0, 0, 0
L -63.3560, -7.3558, 0.1062,  -63.3558, 40.3554, 0.1062,  0, 0, 0
L -63.3558, 40.3554, 0.1062,  -61.8546, 40.3529, 0.1062,  0, 0, 0
L -61.8546, 40.3529, 0.1062,  -61.8552, 45.1319, 0.1062,  0, 0, 0
L -61.8552, 45.1319, 0.1062,  -63.3556, 45.1602, 0.1062,  0, 0, 0
L -63.3556, 45.1602, 0.1062,  -63.3538, 62.1440, 0.1062,  0, 0, 0
L -63.3538, 62.1440, 0.1062,  -80.6469, 62.1470, 0.1062,  0, 0, 0
L -80.6469, 62.1470, 0.1062,  -80.6443, 45.1442, 0.1062,  0, 0, 0
L -82.1442, 45.1446, 0.1062,  -82.1443, 33.8500, 0.1062,  0, 0, 0
L -82.1443, 33.8500, 0.1062,  -72.6437, 33.8559, 0.1062,  0, 0, 0
L -80.6453, 45.1442, 0.1062,  -82.1442, 45.1446, 0.1062,  0, 0, 0
L -72.6445, 33.7932, 0.1062,  -73.2742, -28.2253, -16.3938,  0, 0, 0
L -73.2742, -28.2253, -16.3938,  -103.3174, -28.8557, -16.3938,  0, 0, 0
L -103.3174, -28.8557, -16.3938,  -103.3564, 33.8558, 0.1062,  0, 0, 0
L -103.3564, 33.8558, 0.1062,  -93.8657, 33.8520, 0.1062,  0, 0, 0
L -93.8657, 33.8520, 0.1062,  -93.8521, 45.1414, 0.1062,  0, 0, 0
L -93.8521, 45.1414, 0.1062,  -95.3557, 45.1464, 0.1062,  0, 0, 0
L -95.3557, 45.1464, 0.1062,  -95.2992, 77.2890, 0.1062,  0, 0, 0
L -95.2992, 77.2890, 0.1062,  -77.8554, 94.7283, 0.1062,  0, 0, 0
L -77.8554, 94.7283, 0.1062,  -77.8557, 101.9124, 0.1062,  0, 0, 0
L -77.8568, 104.1479, 0.1062,  -79.3558, 104.1442, 0.1062,  0, 0, 0
L -79.3558, 104.1442, 0.1062,  -79.3536, 105.1444, 0.1062,  0, 0, 0
L -79.3536, 105.1444, 0.1062,  -95.3558, 105.1436, 0.1062,  0, 0, 0
L -95.3558, 105.1436, 0.1062,  -95.3550, 199.8557, 0.1062,  0, 0, 0
L -95.3550, 199.8557, 0.1062,  -47.3509, 199.8549, 0.1062,  0, 0, 0
L -47.3509, 199.8549, 0.1062,  -47.3554, 231.8557, 0.1062,  0, 0, 0
L -47.3554, 231.8557, 0.1062,  -29.8581, 231.8537, 0.1062,  0, 0, 0
L -29.8581, 231.8537, 0.1062,  -29.8522, 237.6438, 0.1062,  0, 0, 0
L -29.8522, 237.6438, 0.1062,  -31.2690, 237.6445, 0.1062,  0, 0, 0
L -31.2690, 237.6445, 0.1062,  -31.3622, 270.6452, 0.1062,  0, 0, 0
L -31.3622, 270.6452, 0.1062,  -80.3559, 270.6442, 0.1062,  0, 0, 0
L -80.3559, 270.6442, 0.1062,  -80.3534, 272.1437, 0.1062,  0, 0, 0
L -80.3534, 272.1437, 0.1062,  -85.1461, 272.1459, 0.1062,  0, 0, 0
L -85.1461, 272.1459, 0.1062,  -85.1441, 270.6437, 0.1062,  0, 0, 0
L -85.1441, 270.6437, 0.1062,  -86.1450, 270.6517, 0.1062,  0, 0, 0
L -86.1450, 270.6517, 0.1062,  -86.1442, 262.6448, 0.1062,  0, 0, 0
L -86.1442, 262.6448, 0.1062,  -148.8554, 262.6442, -16.3938,  0, 0, 0
L -148.8554, 262.6442, -16.3938,  -148.8524, 272.1470, -16.3938,  0, 0, 0
L -148.8524, 272.1470, -16.3938,  -161.1458, 272.1446, -16.3938,  0, 0, 0
L -161.1458, 272.1446, -16.3938,  -161.1442, 262.6460, -16.3938,  0, 0, 0
L -161.1442, 262.6460, -16.3938,  -223.8559, 262.6437, 0.1062,  0, 0, 0
L -223.8559, 262.6437, 0.1062,  -223.8530, 272.1423, 0.1062,  0, 0, 0
L -223.8530, 272.1423, 0.1062,  -229.6475, 272.1466, 0.1062,  0, 0, 0
L -229.6475, 272.1466, 0.1062,  -229.6442, 270.6439, 0.1062,  0, 0, 0
L -229.6442, 270.6439, 0.1062,  -246.6462, 270.6467, 0.1062,  0, 0, 0
L -246.6462, 270.6467, 0.1062,  -246.6441, 254.6438, 0.1062,  0, 0, 0
L -246.6441, 254.6438, 0.1062,  -262.6469, 254.6497, 0.1062,  0, 0, 0
L -262.6469, 254.6497, 0.1062,  -262.6442, 221.6446, 0.1062,  0, 0, 0
L -262.6442, 221.6446, 0.1062,  -264.1423, 221.6460, 0.1062,  0, 0, 0
L -264.1423, 221.6460, 0.1062,  -264.1497, 215.8545, 0.1062,  0, 0, 0
L -264.1497, 215.8545, 0.1062,  -246.6443, 215.8561, 0.1072,  0, 0, 0
L -246.6443, 215.8561, 0.1072,  -246.6583, 200.2460, 0.1062,  0, 0, 0
L -246.6583, 200.2460, 0.1062,  -214.3275, 167.9102, 0.1062,  0, 0, 0
L -214.3275, 167.9102, 0.1062,  -198.3265, 167.7091, 0.1062,  0, 0, 0
L -198.3265, 167.7091, 0.1062,  -182.6560, 136.3721, 0.1062,  0, 0, 0
L -182.6560, 136.3721, 0.1062,  -182.6474, 120.6454, 0.1062,  0, 0, 0
L -182.6474, 120.6454, 0.1062,  -198.4040, 89.1450, 0.1062,  0, 0, 0
L -198.4040, 89.1450, 0.1062,  -214.2681, 89.1441, 0.1062,  0, 0, 0
L -214.2681, 89.1441, 0.1062,  -246.6273, 56.7835, 0.1062,  0, 0, 0
L -246.6273, 56.7835, 0.1062,  -246.6816, 41.1439, 0.1062,  0, 0, 0
L -246.6816, 41.1439, 0.1062,  -264.1414, 41.1440, 0.1062,  0, 0, 0
L -264.1414, 41.1440, 0.1062,  -264.1497, 28.8534, 0.1062,  0, 0, 0
L -264.1497, 28.8534, 0.1062,  -246.6439, 28.8475, 0.1062,  0, 0, 0
L -246.6439, 28.8475, 0.1062,  -246.6470, 11.3555, 0.1062,  0, 0, 0
L -246.6438, 26.3554, 0.1062,  -249.1495, 26.3534, 0.1062,  0, 0, 0
L -249.1442, 28.8564, 0.1062,  -249.1495, 26.3534, 0.1062,  0, 0, 0
L -235.3558, 11.3554, 0.1062,  -235.3558, 12.8562, 0.1062,  0, 0, 0
L -246.6470, 11.3555, 0.1062,  -235.3558, 11.3554, 0.1062,  0, 0, 0
L -235.3450, 12.8565, 0.1062,  -187.6441, 12.8558, 0.1062,  0, 0, 0
L -187.6441, 12.8558, 0.1062,  -187.6442, -33.8557, 0.1062,  0, 0, 0
L -187.6442, -33.8557, 0.1062,  -234.3553, -33.8563, 0.1062,  0, 0, 0
L -234.3553, -33.8563, 0.1062,  -234.3561, -19.1446, 0.1062,  0, 0, 0
L -234.3561, -19.1446, 0.1062,  -218.3510, -19.1432, 0.1062,  0, 0, 0
L -218.3510, -19.1432, 0.1062,  -218.3578, -1.8525, 0.1062,  0, 0, 0
L -218.3578, -1.8525, 0.1062,  -235.3551, -1.8560, 0.1062,  0, 0, 0
L -235.3551, -1.8560, 0.1062,  -235.3540, -0.3542, 0.1062,  0, 0, 0
L -235.3540, -0.3542, 0.1062,  -246.6454, -0.3576, 0.1062,  0, 0, 0
L -246.6454, -0.3576, 0.1062,  -246.6440, -17.8563, 0.1062,  0, 0, 0
L -246.6442, -15.3561, 0.1062,  -249.1460, -15.3537, 0.1062,  0, 0, 0
L -249.1460, -15.3537, 0.1062,  -249.1441, -17.8562, 0.1062,  0, 0, 0
L -246.6440, -17.8563, 0.1062,  -277.3557, -17.8555, 0.1062,  0, 0, 0
L -277.3557, -17.8555, 0.1062,  -277.3405, -1.8552, 0.1062,  0, 0, 0
L -277.3405, -1.8552, 0.1062,  -294.3562, -1.8520, 0.1062,  0, 0, 0
L -294.3562, -1.8520, 0.1062,  -294.3445, -0.3555, 0.1062,  0, 0, 0
L -294.3445, -0.3555, 0.1062,  -299.1445, -0.3542, 0.1062,  0, 0, 0
L -299.1445, -0.3542, 0.1062,  -299.1447, -1.8559, 0.1062,  0, 0, 0
L -299.1447, -1.8559, 0.1062,  -362.8560, -1.8561, 0.1062,  0, 0, 0
L -362.8560, -1.8561, 0.1062,  -362.8526, 47.1456, 0.1062,  0, 0, 0
L -362.8526, 47.1456, 0.1062,  -378.8558, 47.1439, 0.1062,  0, 0, 0
L -378.8558, 47.1439, 0.1062,  -378.8552, 93.8558, 0.1062,  0, 0, 0
L -378.8552, 93.8558, 0.1062,  -348.1441, 93.8564, 0.1062,  0, 0, 0
L -348.1441, 93.8564, 0.1062,  -348.1476, 28.8659, 0.1062,  0, 0, 0
L -348.1476, 28.8659, 0.1062,  -332.1443, 28.8272, 0.1062,  0, 0, 0
L -332.1443, 28.8272, 0.1062,  -332.1453, 12.8549, 0.1062,  0, 0, 0
L -332.1453, 12.8549, 0.1062,  -299.1793, 12.8555, 0.1062,  0, 0, 0
L -299.1793, 12.8555, 0.1062,  -299.1417, 11.3548, 0.1062,  0, 0, 0
L -299.1417, 11.3548, 0.1062,  -294.3531, 11.3543, 0.1062,  0, 0, 0
L -294.3531, 11.3543, 0.1062,  -294.3560, 12.8561, 0.1062,  0, 0, 0
L -294.3560, 12.8561, 0.1062,  -293.3498, 12.8494, 0.1062,  0, 0, 0
L -293.3498, 12.8494, 0.1062,  -293.3557, 28.8558, 0.1062,  0, 0, 0
L -293.3557, 28.8558, 0.1062,  -275.8548, 28.8552, 0.1062,  0, 0, 0
L -275.8548, 28.8552, 0.1062,  -275.8574, 41.1459, 0.1062,  0, 0, 0
L -275.8574, 41.1459, 0.1062,  -293.3547, 41.1439, 0.1062,  0, 0, 0
L -293.3547, 41.1439, 0.1062,  -293.3556, 72.1713, 0.1062,  0, 0, 0
L -293.3556, 72.1713, 0.1062,  -277.3530, 88.2353, 0.1062,  0, 0, 0
L -277.3530, 88.2353, 0.1062,  -277.3509, 121.1445, 0.1062,  0, 0, 0
L -277.3509, 121.1445, 0.1062,  -294.2894, 121.1445, 0.1062,  0, 0, 0
L -294.2894, 121.1445, 0.1062,  -294.3640, 122.6430, 0.1062,  0, 0, 0
L -294.3640, 122.6430, 0.1062,  -299.1162, 122.6473, 0.1062,  0, 0, 0
L -299.1162, 122.6473, 0.1062,  -299.1442, 121.1474, 0.1062,  0, 0, 0
L -299.1442, 121.1474, 0.1062,  -301.1395, 121.1430, 0.1062,  0, 0, 0
L -301.1395, 121.1430, 0.1062,  -301.1781, 105.1444, 0.1062,  0, 0, 0
L -556.0000, 242.4546, 0.1062,  -541.8851, 228.2956, 0.1062,  0, 0, 0
L -541.4872, 228.1442, 0.1062,  -525.7510, 228.1471, 0.1062,  0, 0, 0
L -525.7510, 228.1471, 0.1062,  -509.6447, 212.1448, 0.1062,  0, 0, 0
L -509.6447, 212.1448, 0.1062,  -491.8554, 212.1443, 0.1062,  0, 0, 0
L -491.8554, 212.1443, 0.1062,  -491.8549, 199.8523, 0.1062,  0, 0, 0
L -491.8549, 199.8523, 0.1062,  -509.5865, 199.8566, 0.1062,  0, 0, 0
L -509.5865, 199.8566, 0.1062,  -525.3541, 184.0364, 0.1062,  0, 0, 0
L -525.3541, 184.0364, 0.1062,  -525.2574, 88.6701, 0.1062,  0, 0, 0
L -525.2574, 88.6701, 0.1062,  -509.3504, 73.1434, 0.1062,  0, 0, 0
L -509.3504, 73.1434, 0.1062,  -430.3003, 73.1433, 0.1062,  0, 0, 0
L -430.3003, 73.1433, 0.1062,  -414.7079, 88.7040, 0.1062,  0, 0, 0
L -414.7079, 88.7040, 0.1062,  -414.6392, 122.6443, 0.1062,  0, 0, 0
L -404.2229, 122.6440, 0.1062,  -386.9182, 105.3325, 0.1062,  0, 0, 0
L -386.9182, 105.3325, 0.1062,  -301.1464, 105.1442, 0.1062,  0, 0, 0
L 412.1437, -39.3558, 0.1062,  428.1394, -39.3571, 0.1062,  0, 0, 0
L 704.8557, -135.3531, 0.1062,  704.8552, -119.3529, 0.1062,  0, 0, 0
P -589.1698, 261.8892, 4.1184,  0, 127, 0,  3,  to_Lesser_Faydark
